Dist_to_work,Age_cat,Abs_cat
Dist_Med,Age_Young,Abs_High
Dist_High,Age_Very_young,Abs_Med
Dist_Med,Age_higher,Abs_High
Dist_Med,Age_Very_young,Abs_low
Dist_low,Age_higher,Abs_low
Dist_Med,Age_Young,Abs_High
Dist_Med,Age_Very_young,Abs_low
Dist_Med,Age_Young,Abs_High
Dist_low,Age_Young,Abs_High
Dist_Med,Age_Very_young,Abs_High
Dist_Med,Age_Young,Abs_low
Dist_Med,Age_Young,Abs_low
Dist_Med,Age_Young,Abs_High
Dist_Med,Age_Very_young,Abs_low
Dist_Med,Age_higher,Abs_High
Dist_High,Age_Middle_Age,Abs_High
Dist_Med,Age_higher,Abs_High
Dist_High,Age_Middle_Age,Abs_low
Dist_High,Age_Very_young,Abs_High
Dist_Med,Age_Young,Abs_Med
Dist_Med,Age_Young,Abs_High
Dist_Med,Age_higher,Abs_low
Dist_High,Age_Middle_Age,Abs_low
Dist_Med,Age_Young,Abs_low
Dist_Med,Age_higher,Abs_High
Dist_low,Age_Middle_Age,Abs_low
Dist_low,Age_Young,Abs_low
Dist_Med,Age_Young,Abs_High
Dist_High,Age_Middle_Age,Abs_low
Dist_High,Age_Middle_Age,Abs_low
Dist_low,Age_higher,Abs_low
Dist_Med,Age_Very_young,Abs_Med
Dist_Med,Age_Very_young,Abs_low
Dist_low,Age_Young,Abs_low
Dist_low,Age_higher,Abs_low
Dist_low,Age_Young,Abs_High
Dist_High,Age_Middle_Age,Abs_Med
Dist_Med,Age_Middle_Age,Abs_low
Dist_High,Age_Very_young,Abs_High
Dist_Med,Age_Very_young,Abs_High
Dist_High,Age_Middle_Age,Abs_low
Dist_low,Age_Young,Abs_High
Dist_Med,Age_Very_young,Abs_low
Dist_Med,Age_Very_young,Abs_High
Dist_High,Age_Middle_Age,Abs_low
Dist_High,Age_Middle_Age,Abs_low
Dist_High,Age_Middle_Age,Abs_low
Dist_High,Age_Middle_Age,Abs_low
Dist_High,Age_Middle_Age,Abs_low
Dist_High,Age_Middle_Age,Abs_low
Dist_low,Age_higher,Abs_low
Dist_low,Age_higher,Abs_low
Dist_low,Age_higher,Abs_low
Dist_High,Age_Very_young,Abs_High
Dist_Med,Age_higher,Abs_low
Dist_low,Age_higher,Abs_High
