Customer ID,Age,Gender,Income,Purchase
1,25,F,7094,Yes
2,35,M,2351,No
3,48,F,5294,Yes
4,62,M,16595,Yes
5,29,F,14118,No
6,51,M,3978,No
7,43,F,6430,Yes
8,28,M,8396,Yes
9,39,F,,No
10,57,M,6582,No
11,45,F,6653,Yes
12,31,M,5878,Yes
13,22,F,2335,No
14,42,M,2613,No
15,36,F,8321,Yes
16,49,M,19566,Yes
17,27,F,17174,No
18,53,M,,No
19,40,F,2684,Yes
20,30,M,9406,Yes
21,26,F,3141,Yes
22,36,M,4690,No
23,49,F,3232,Yes
24,63,M,3890,Yes
25,30,F,1291,No
26,52,M,9124,No
27,44,F,3008,Yes
28,29,M,3437,Yes
29,40,F,3654,No
30,58,M,7960,No
31,46,F,4364,Yes
32,32,M,8382,Yes
33,23,F,3856,No
34,43,M,6338,No
35,37,F,18277,Yes
36,50,M,15114,Yes
37,28,F,5729,No
38,54,M,8288,No
39,41,F,8999,Yes
40,31,M,9183,Yes
41,27,F,7828,Yes
42,37,M,6943,No
43,50,F,6873,Yes
44,64,M,3634,Yes
45,31,F,4436,No
46,53,M,10188,No
47,45,F,20234,Yes
48,30,M,17911,Yes
49,41,F,17619,No
50,59,M,3940,No
51,47,F,9313,Yes
52,33,M,3054,Yes
53,24,F,4919,No
54,44,M,3554,No
55,38,F,3896,Yes
56,51,M,3883,Yes
57,29,F, ,No
58,55,M,2757,No
59,42,F,4401,Yes
60,32,M,8114,Yes
61,28,F,2878,Yes
62,38,M,5789,No
63,51,F,18267,Yes
64,65,M,15171,Yes
65,32,F,5626,No
66,54,M,7336,No
67,46,F,9215,Yes
68,31,M,9003,Yes
69,42,F,7494,No
70,60,M,7942,No
71,48,F,7521,Yes
72,34,M,3963,Yes
73,25,F,3978,No
74,45,M,9940,No
75,39,F,20703,Yes
76,52,M,18505,Yes
77,30,F,17628,No
78,56,M,2965,No
79,43,F,9819,Yes
80,33,M,3597,Yes
